Original Molecule,Parsed Molecule,Link,Result Type,CAS,Deprecated CAS,Compound/Substance,Depositor Synonym List,Regular Synonym List,Synonym?
ALPHA-GALACTOSIDASE,ALPHA-GALACTOSIDASE,https://pubchem.ncbi.nlm.nih.gov/compound/82000,RELEVANT,7493-95-0,No CAS info,COMPOUND,NO,NO,NO
ARALIA RACEMOSA,ARALIA RACEMOSA,https://pubchem.ncbi.nlm.nih.gov/compound/Aralia%20racemosa%20root,FEATURED,89957-50-6,No CAS info,COMPOUND,MISSING,YES,YES
ARANEUS DIADEMATUS,ARANEUS DIADEMATUS,https://pubchem.ncbi.nlm.nih.gov/compound/Araneus%20Diadematus,FEATURED,91745-67-4,No CAS info,COMPOUND,MISSING,YES,YES
AUROTHIOMALIC ACID,AUROTHIOMALIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/422786,FEATURED,33796-26-8,No CAS info,COMPOUND,YES,YES,YES
BERBERIS VULGARIS,BERBERIS VULGARIS,https://pubchem.ncbi.nlm.nih.gov/compound/Berberis%20Vulgaris%20Root%20Bark,FEATURED,84649-92-3,No CAS info,COMPOUND,MISSING,YES,YES
BRASSICA NAPUS,BRASSICA NAPUS,https://pubchem.ncbi.nlm.nih.gov/compound/100917761,RELEVANT,173740-48-2,No CAS info,COMPOUND,NO,NO,NO
CADEXOMER IODINE,CADEXOMER IODINE,https://pubchem.ncbi.nlm.nih.gov/substance/135298353,RELEVANT,94820-09-4,No CAS info,SUBSTANCE,YES,YES,YES
CALAMINE,CALAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/23083748,FEATURED,"8011-96-9, 12063-19-3","1005291-42-8, 116094-82-7, 1225184-29-1, 1314527-00-8, 1331731-79-3, 1353745-31-9, 1363177-45-0, 1415015-81-4, 1419872-41-5, 1435443-98-3, 1555944-40-5, 1639052-09-7, 164250-66-2, 1662679-23-3, 1884263-09-5, 263842-41-7, 548491-80-1, 651053-04-2, 71615-25-3, 745830-57-3, 882315-44-8",COMPOUND,YES,YES,YES
CAPSICUM,CAPSICUM,https://pubchem.ncbi.nlm.nih.gov/compound/Capsicum,FEATURED,"84625-29-6, 85940-30-3, 977007-72-9",No CAS info,COMPOUND,MISSING,YES,YES
CITRUS DECUMANA,CITRUS DECUMANA,https://pubchem.ncbi.nlm.nih.gov/compound/Pummelo,FEATURED,90045-43-5,No CAS info,COMPOUND,MISSING,YES,YES
DACTYLIS GLOMERATA,DACTYLIS GLOMERATA,https://pubchem.ncbi.nlm.nih.gov/compound/Dactylis%20glomerata%20pollen,FEATURED,94349-98-1,No CAS info,COMPOUND,MISSING,YES,YES
DEXTRIN,DEXTRIN,https://pubchem.ncbi.nlm.nih.gov/compound/62698,FEATURED,9004-53-9,"100041-56-3, 129290-56-8, 133925-38-9, 152232-07-0, 185829-47-4, 199015-70-8, 2186634-06-8, 256933-14-9, 2983451-46-1, 37265-05-7, 37265-06-8, 650604-25-4, 74347-35-6, 753470-74-5, 9072-45-1",COMPOUND,YES,YES,YES
DROSERA ROTUNDIFOLIA,DROSERA ROTUNDIFOLIA,https://pubchem.ncbi.nlm.nih.gov/compound/Drosera%20Rotundifolia,FEATURED,84696-10-6,No CAS info,COMPOUND,MISSING,YES,YES
ECHINACEA ANGUSTIFOLIA,ECHINACEA ANGUSTIFOLIA,https://pubchem.ncbi.nlm.nih.gov/compound/Echinacea%20Angustifolia,FEATURED,84696-11-7,No CAS info,COMPOUND,MISSING,YES,YES
ECHINACEA PURPUREA,ECHINACEA PURPUREA,https://pubchem.ncbi.nlm.nih.gov/compound/Echinacea%20purpurea%20whole,FEATURED,90028-20-9,No CAS info,COMPOUND,MISSING,YES,YES
ELETTARIA CARDAMOMUM,ELETTARIA CARDAMOMUM,https://pubchem.ncbi.nlm.nih.gov/compound/Cardamom,FEATURED,977005-95-0,No CAS info,COMPOUND,MISSING,YES,YES
EUPATORIUM PERFOLIATUM,EUPATORIUM PERFOLIATUM,https://pubchem.ncbi.nlm.nih.gov/compound/Eupatorium%20Perfoliatum%20Flowering%20Top,FEATURED,84625-35-4,No CAS info,COMPOUND,MISSING,YES,YES
FACTOR VIII INHIBITOR BYPASSING FRACTION,FACTOR VIII INHIBITOR BYPASSING FRACTION,https://pubchem.ncbi.nlm.nih.gov/compound/Anti-Inhibitor%20Coagulant%20Complex,FEATURED,78690-39-8,No CAS info,COMPOUND,MISSING,YES,YES
FACTOR XIII,FACTOR XIII,https://pubchem.ncbi.nlm.nih.gov/compound/126166,RELEVANT,97089-56-0,No CAS info,COMPOUND,NO,NO,NO
FUCUS VESICULOSUS,FUCUS VESICULOSUS,https://pubchem.ncbi.nlm.nih.gov/compound/Fucus%20vesiculosus,FEATURED,977001-75-4,No CAS info,COMPOUND,MISSING,YES,YES
GARCINIA MANGOSTANA,GARCINIA MANGOSTANA,https://pubchem.ncbi.nlm.nih.gov/compound/5495926,RELEVANT,107390-08-9,No CAS info,COMPOUND,NO,NO,NO
GAULTHERIA PROCUMBENS,GAULTHERIA PROCUMBENS,https://pubchem.ncbi.nlm.nih.gov/compound/Gaultheria%20procumbens%20top,FEATURED,977092-74-2,No CAS info,COMPOUND,MISSING,YES,YES
GELSEMIUM SEMPERVIRENS,GELSEMIUM SEMPERVIRENS,https://pubchem.ncbi.nlm.nih.gov/compound/Gelsemium%20Sempervirens%20Root,FEATURED,84650-08-8,No CAS info,COMPOUND,MISSING,YES,YES
GERANIUM MACULATUM,GERANIUM MACULATUM,https://pubchem.ncbi.nlm.nih.gov/compound/Geranium%20maculatum%20root,FEATURED,84650-10-2,No CAS info,COMPOUND,MISSING,YES,YES
GERANIUM ROBERTIANUM,GERANIUM ROBERTIANUM,https://pubchem.ncbi.nlm.nih.gov/compound/Geranium%20robertianum%20whole,FEATURED,84650-11-3,No CAS info,COMPOUND,MISSING,YES,YES
GLUCANASE,GLUCANASE,https://pubchem.ncbi.nlm.nih.gov/compound/126287,RELEVANT,72626-61-0,No CAS info,COMPOUND,NO,NO,NO
GLUCOMANNAN,GLUCOMANNAN,https://pubchem.ncbi.nlm.nih.gov/compound/24892726,FEATURED,76081-94-2,No CAS info,COMPOUND,YES,YES,YES
ILEX AQUIFOLIUM,ILEX AQUIFOLIUM,https://pubchem.ncbi.nlm.nih.gov/compound/Ilex%20aquifolium%20flowering%20top,FEATURED,90045-83-3,No CAS info,COMPOUND,MISSING,YES,YES
INSULIN HUMAN ISOPHANE,INSULIN HUMAN ISOPHANE,https://pubchem.ncbi.nlm.nih.gov/compound/24839622,RELEVANT,8049-62-5,"9004-16-4, 9048-96-8, 99551-09-4",COMPOUND,NO,NO,NO
INSULIN HUMAN ZINC SUSPENSION (COMPOUND),INSULIN HUMAN ZINC SUSPENSION (COMPOUND),https://pubchem.ncbi.nlm.nih.gov/compound/24839622,RELEVANT,8049-62-5,"9004-16-4, 9048-96-8, 99551-09-4",COMPOUND,NO,NO,NO
INSULIN HUMAN ZINC SUSPENSION (CRYSTALLINE),INSULIN HUMAN ZINC SUSPENSION (CRYSTALLINE),https://pubchem.ncbi.nlm.nih.gov/compound/24839622,RELEVANT,8049-62-5,"9004-16-4, 9048-96-8, 99551-09-4",COMPOUND,NO,NO,NO
INSULIN PORCINE ISOPHANE,INSULIN PORCINE ISOPHANE,https://pubchem.ncbi.nlm.nih.gov/compound/24839622,RELEVANT,8049-62-5,"9004-16-4, 9048-96-8, 99551-09-4",COMPOUND,NO,NO,NO
INSULIN PORCINE ZINC SUSPENSION (COMPOUND),INSULIN PORCINE ZINC SUSPENSION (COMPOUND),https://pubchem.ncbi.nlm.nih.gov/compound/24839622,RELEVANT,8049-62-5,"9004-16-4, 9048-96-8, 99551-09-4",COMPOUND,NO,NO,NO
IODINATED POPPYSEED OIL,IODINATED POPPYSEED OIL,https://pubchem.ncbi.nlm.nih.gov/substance/135304584,RELEVANT,8002-46-8,"71892-90-5, 79817-44-0, 87435-86-7",SUBSTANCE,YES,YES,YES
