,molecule,CAS
0,ACHILLEA MILLEFOLIUM,"977000-16-0, 8022-07-9"
1,ALPHA-GALACTOSIDASE,7493-95-0
2,ALPHA AMYLASE,"9005-82-7, 6401-81-6, 1109-28-0"
3,ALPHA CAROTENE,7488-99-5
4,ALPRAZOLAM,28981-97-7
5,ALPROSTADIL,745-65-3
6,ALTEPLASE,"105857-23-6, 105913-11-9"
7,AMPHOTERICIN B,"1397-89-3
30652-87-0, 1397-89-3, 12633-72-6"
8,AMPICILLIN,69-53-4
9,AMPRENAVIR,161814-49-9
10,AMRINONE,60719-84-8
11,ANTIFUNGAL,"10043-35-3
11113-50-1, 10043-35-3, 11113-50-1, 13813-79-1"
12,ARALIA RACEMOSA,89957-50-6
13,ARANEUS DIADEMATUS,91745-67-4
14,ATOVAQUONE,"94015-53-9, 95233-18-4"
15,AUROTHIOMALIC ACID,33796-26-8
16,BERBERIS VULGARIS,84649-92-3
17,BORIC ACID,"10043-35-3
11113-50-1, 10043-35-3, 11113-50-1, 13813-79-1"
18,BRASSICA NAPUS,173740-48-2
19,CADEXOMER IODINE,94820-09-4
20,CADE OIL,8013-10-3
21,CAFFEINE,"58-08-2, 95789-13-2"
22,CALAMINE,"8011-96-9, 12063-19-3"
23,CALCIFEDIOL,"19356-17-3, 64719-49-9, 63283-36-3"
24,CALCIPOTRIOL,"112965-21-6, 112828-00-9"
25,CAPSICUM,"84625-29-6, 85940-30-3, 977007-72-9"
26,CARICA PAPAYA,"108333-82-0, 9001-73-4"
27,CHLORAL HYDRATE,302-17-0
28,CHLORAMBUCIL,305-03-3
29,CHLORAMPHENICOL,"56-75-7, 2787-09-9"
30,CHLORCYCLIZINE,82-93-9
31,CHLORDIAZEPOXIDE,58-25-3
32,CHLORPROMAZINE,"34468-21-8, 50-53-3"
33,CITRUS DECUMANA,90045-43-5
34,COLESTIPOL,"50925-79-6, 26658-42-4"
35,CRYOFLUORANE,"76-14-2
1320-37-2 (mixed isomers), 76-14-2, 76-14-2, 1320-37-2 (mixed isomers)"
36,CRYSTAL VIOLET,548-62-9
37,CURCUMA LONGA,"458-37-7, 8024-37-1, 94875-80-6"
38,CURCUMIN,"458-37-7, 8024-37-1, 94875-80-6"
39,CYANOCOBALAMIN,"68-19-9, 13408-78-1"
40,CYCLANDELATE,456-59-7
41,CYCLIZINE,82-92-8
42,DACTYLIS GLOMERATA,94349-98-1
43,DENTAL FLOSS,"7631-97-2, 10163-15-2"
44,DESOXIMETASONE,"140218-14-0, 382-67-2"
45,DEXTRIN,9004-53-9
46,DIETHYLTOLUAMIDE,"134-62-3, 26545-51-7"
47,DIFENOXIN,28782-42-5
48,DIFLORASONE,2557-49-5
49,DIFLUNISAL,22494-42-4
50,DILTIAZEM,"56209-45-1, 42399-41-7"
51,DOLOMITE,"60937-55-5, 7000-29-5, 16389-88-1"
52,DROSERA ROTUNDIFOLIA,84696-10-6
53,ECHINACEA ANGUSTIFOLIA,84696-11-7
54,ECHINACEA PURPUREA,90028-20-9
55,ELETTARIA CARDAMOMUM,977005-95-0
56,ESTRADIOL,"17916-67-5, 50-28-2"
57,ESTRAMUSTINE,2998-57-4
58,EUPATORIUM PERFOLIATUM,84625-35-4
59,FACTOR VIII,"17493-86-6, 139076-62-3"
60,FACTOR VIII INHIBITOR BYPASSING FRACTION,78690-39-8
61,FACTOR XIII,97089-56-0
62,FUCUS VESICULOSUS,977001-75-4
63,GABAPENTIN ENACARBIL,478296-72-9
64,GADOBENIC ACID,113662-23-0
65,GARCINIA MANGOSTANA,107390-08-9
66,GAULTHERIA PROCUMBENS,977092-74-2
67,GELSEMIUM SEMPERVIRENS,84650-08-8
68,GERANIUM MACULATUM,84650-10-2
69,GERANIUM ROBERTIANUM,84650-11-3
70,GLUCANASE,72626-61-0
71,GLUCOMANNAN,76081-94-2
72,GUANABENZ,"60329-03-5, 5051-62-7, 60329-05-7"
73,HYDROXYPROLINE,"618-28-0, 51-35-4"
74,ILEX AQUIFOLIUM,90045-83-3
75,INSULIN HUMAN ISOPHANE,8049-62-5
76,INSULIN HUMAN ZINC SUSPENSION (COMPOUND),8049-62-5
77,INSULIN HUMAN ZINC SUSPENSION (CRYSTALLINE),8049-62-5
78,INSULIN PORCINE ISOPHANE,8049-62-5
79,INSULIN PORCINE ZINC SUSPENSION (COMPOUND),8049-62-5
80,IODINATED POPPYSEED OIL,8002-46-8
81,LACTUCA VIROSA,85117-07-3
82,LAUROAMPHOACETATE,"156028-14-7, 68647-44-9"
83,LECITHIN,"8002-43-5, 17708-90-6"
84,LEPIDIUM MEYENII,5327-45-7
85,LIOTHYRONINE,"15785-49-6, 6893-02-3"
86,LOBARIA PULMONARIA,90063-60-8
87,LOBELIA INFLATA,84696-23-1
88,LOLIUM PERENNE,90063-63-1
89,MATRICARIA CHAMOMILLA,977001-96-9
90,MEFLOQUINE,"51742-87-1, 53230-10-7"
91,MELISSA OFFICINALIS,"8014-71-9, 977051-08-3"
92,MENTHA PIPERITA,84082-70-2
93,MOLINDONE,7416-34-4
94,MOLYBDENUM,"7439-98-7, 16065-87-5, 22541-84-0, 16727-12-1"
95,MOMETASONE,105102-22-5
96,MONOBENZONE,103-16-2
97,N-ACETYLTYROSINE,"2901-77-1, 537-55-3"
98,NASTURTIUM OFFICINALE,84775-70-2
99,NICOTINE,"54-11-5
22083-74-5, 54-11-5"
100,O-PHTHALALDEHYDE,643-79-8
101,OCTOCOG ALFA,"17493-86-6, 139076-62-3"
102,OCTYL SALICYLATE,6969-49-9
