Parsed,Link,Result Type
OPICAPONE,https://pubchem.ncbi.nlm.nih.gov/compound/135565903,FEATURED
BRILLIANT BLUE G,https://pubchem.ncbi.nlm.nih.gov/compound/6324599,FEATURED
AFAMELANOTIDE,https://pubchem.ncbi.nlm.nih.gov/compound/16197727,FEATURED
TALAZOPARIB,https://pubchem.ncbi.nlm.nih.gov/compound/135565082,FEATURED
NBI-98782,https://pubchem.ncbi.nlm.nih.gov/compound/14580381,FEATURED
LEVOMEFOLATE CALCIUM,https://pubchem.ncbi.nlm.nih.gov/compound/135564391,FEATURED
"LUMEFANTRINE, (-)-",https://pubchem.ncbi.nlm.nih.gov/compound/6437380,FEATURED
FR-135313,https://pubchem.ncbi.nlm.nih.gov/compound/9828788,FEATURED
ELTROMBOPAG,https://pubchem.ncbi.nlm.nih.gov/compound/Eltrombopag,FEATURED
TRYPAN BLUE FREE ACID,https://pubchem.ncbi.nlm.nih.gov/compound/Trypan%20Blue%20free%20acid,FEATURED
TIOTROPIUM,https://pubchem.ncbi.nlm.nih.gov/compound/Tiotropium,FEATURED
R-LINEZOLID,https://pubchem.ncbi.nlm.nih.gov/compound/73180,FEATURED
ALOSETRON HYDROCHLORIDE,https://pubchem.ncbi.nlm.nih.gov/compound/60758,FEATURED
PIOGLITAZONE HYDROCHLORIDE,https://pubchem.ncbi.nlm.nih.gov/compound/60560,FEATURED
.ALPHA.-D-FLUDEOXYGLUCOPYRANOSE,https://pubchem.ncbi.nlm.nih.gov/compound/445226,FEATURED
TECHNETIUM TC-99M BICISATE,https://pubchem.ncbi.nlm.nih.gov/compound/155491161,FEATURED
STIBOCAPTATE,https://pubchem.ncbi.nlm.nih.gov/compound/92908,FEATURED
TITANIUM HYDRIDE,https://pubchem.ncbi.nlm.nih.gov/compound/5359268,RELEVANT
OLSALAZINE,https://pubchem.ncbi.nlm.nih.gov/compound/Olsalazine,FEATURED
SELEGILINE HYDROCHLORIDE,https://pubchem.ncbi.nlm.nih.gov/compound/26758,FEATURED
KETOROLAC TROMETHAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/84003,FEATURED
IPRATROPIUM,https://pubchem.ncbi.nlm.nih.gov/compound/Ipratropium,FEATURED
BUPROPION MALEATE,https://pubchem.ncbi.nlm.nih.gov/compound/12882211,FEATURED
PROTOPORPHYRIN,https://pubchem.ncbi.nlm.nih.gov/compound/4971,FEATURED
TECHNETIUM TC-99M OXIDRONATE,https://pubchem.ncbi.nlm.nih.gov/compound/123801,FEATURED
OXIGLUTATIONE DISODIUM,https://pubchem.ncbi.nlm.nih.gov/compound/76967787,FEATURED
TRAZODONE HYDROCHLORIDE,https://pubchem.ncbi.nlm.nih.gov/compound/62935,FEATURED
IOTHALAMIC ACID I-125,https://pubchem.ncbi.nlm.nih.gov/compound/23724932,FEATURED
TECHNETIUM TC-99M PYROPHOSPHATE,https://pubchem.ncbi.nlm.nih.gov/compound/6452753,FEATURED
FENFLURAMINE HYDROCHLORIDE,https://pubchem.ncbi.nlm.nih.gov/compound/91452,FEATURED
SILVER SULFADIAZINE,https://pubchem.ncbi.nlm.nih.gov/compound/441244,FEATURED
TECHNETIUM TC-99M,https://pubchem.ncbi.nlm.nih.gov/compound/26476,FEATURED
