url,common,preferred,brand,inn,pubchem,who_atc,cas,originator,stereochemistry,formula,mw,investigational,us_market,us_market_year,us_prev_market,first_year_approval,fda_links,target_list,condition_list,patent_list,pubmed,pmid,mesh,Parsed Molecule,Link,Result Type,CAS,Deprecated CAS,Compound/Substance
https://drugs.ncats.io/drug/9H414A99MD,"['RADIUM RA-223 CATION', 'RADIUM, ISOTOPE OF MASS 223 (223RA2+)', 'RADIUM-223 ION(2+)']",RADIUM RA-223 CATION,[],,,,,Algeta,ACHIRAL,Ra,223.01849714,0,1,['2013'],0,2013.0,['NDA203971'],[],"['Prostatic Neoplasms, Castration-Resistant', 'Metastatic breast cancer']","['CA2875918A1', 'EP2836837A2', 'WO2008092954A2']","['https://www.ncbi.nlm.nih.gov/pubmed/18368304', 'https://www.ncbi.nlm.nih.gov/pubmed/23000088', 'https://www.ncbi.nlm.nih.gov/pubmed/23653243']","['18368304', '23000088', '23653243']",,RADIUM RA-223 CATION,https://pubchem.ncbi.nlm.nih.gov/compound/Radium%20RA-223%20cation,FEATURED,N/A,,COMPOUND
https://drugs.ncats.io/drug/CLH5FT6412,['FERUMOXYTOL NON-STOICHIOMETRIC MAGNETITE'],FERUMOXYTOL NON-STOICHIOMETRIC MAGNETITE,[],,,,,,ACHIRAL,3Fe.4O,231.533,0,1,['2009'],0,2009.0,['NDA022180'],[],[],[],[],[],,FERUMOXYTOL NON-STOICHIOMETRIC MAGNETITE,https://pubchem.ncbi.nlm.nih.gov/compound/Ferumoxytol%20Non-Stoichiometric%20Magnetite,FEATURED,N/A,,COMPOUND
https://drugs.ncats.io/drug/09NO5N37E0,"['DROPERIDOL LACTATE', 'DROPERIDOL LACTATE [WHO-DD]', 'DROPERIDOL DL-LACTATE']",DROPERIDOL LACTATE,[],,,,,Janssen,RACEMIC,C22H22FN3O2.C3H6O3,469.5053,0,1,['1970'],0,1967.0,['NDA016796'],"['Serotonin 2a (5-HT2a) receptor', 'Alpha-1a adrenergic receptor', 'Dopamine D2 receptor', 'HERG']",['Postoperative Nausea and Vomiting'],['JP2002511777A'],"['https://www.ncbi.nlm.nih.gov/pubmed/1167743', 'https://www.ncbi.nlm.nih.gov/pubmed/1147302', 'https://www.ncbi.nlm.nih.gov/pubmed/10411778', 'https://www.ncbi.nlm.nih.gov/pubmed/11075569', 'https://www.ncbi.nlm.nih.gov/pubmed/11554014', 'https://www.ncbi.nlm.nih.gov/pubmed/11218733', 'https://www.ncbi.nlm.nih.gov/pubmed/11167438', 'https://www.ncbi.nlm.nih.gov/pubmed/11496617', 'https://www.ncbi.nlm.nih.gov/pubmed/11465268', 'https://www.ncbi.nlm.nih.gov/pubmed/11419247', 'https://www.ncbi.nlm.nih.gov/pubmed/11400565', 'https://www.ncbi.nlm.nih.gov/pubmed/11691681', 'https://www.ncbi.nlm.nih.gov/pubmed/11606340', 'https://www.ncbi.nlm.nih.gov/pubmed/11642591', 'https://www.ncbi.nlm.nih.gov/pubmed/11860610', 'https://www.ncbi.nlm.nih.gov/pubmed/12118494', 'https://www.ncbi.nlm.nih.gov/pubmed/12151925', 'https://www.ncbi.nlm.nih.gov/pubmed/12380043', 'https://www.ncbi.nlm.nih.gov/pubmed/11845375', 'https://www.ncbi.nlm.nih.gov/pubmed/11870505', 'https://www.ncbi.nlm.nih.gov/pubmed/12226953', 'https://www.ncbi.nlm.nih.gov/pubmed/12167446', 'https://www.ncbi.nlm.nih.gov/pubmed/12131147', 'https://www.ncbi.nlm.nih.gov/pubmed/12131146', 'https://www.ncbi.nlm.nih.gov/pubmed/12131145', 'https://www.ncbi.nlm.nih.gov/pubmed/12173200', 'https://www.ncbi.nlm.nih.gov/pubmed/12168506', 'https://www.ncbi.nlm.nih.gov/pubmed/12045085', 'https://www.ncbi.nlm.nih.gov/pubmed/12045077', 'https://www.ncbi.nlm.nih.gov/pubmed/12042225', 'https://www.ncbi.nlm.nih.gov/pubmed/12126546', 'https://www.ncbi.nlm.nih.gov/pubmed/11902037', 'https://www.ncbi.nlm.nih.gov/pubmed/12027845', 'https://www.ncbi.nlm.nih.gov/pubmed/12008124', 'https://www.ncbi.nlm.nih.gov/pubmed/12113564', 'https://www.ncbi.nlm.nih.gov/pubmed/12378031', 'https://www.ncbi.nlm.nih.gov/pubmed/12351246', 'https://www.ncbi.nlm.nih.gov/pubmed/12382109', 'https://www.ncbi.nlm.nih.gov/pubmed/12358655', 'https://www.ncbi.nlm.nih.gov/pubmed/12227082', 'https://www.ncbi.nlm.nih.gov/pubmed/12240805']","['1167743', '1147302', '10411778', '11075569', '11554014', '11218733', '11167438', '11496617', '11465268', '11419247', '11400565', '11691681', '11606340', '11642591', '11860610', '12118494', '12151925', '12380043', '11845375', '11870505', '12226953', '12167446', '12131147', '12131146', '12131145', '12173200', '12168506', '12045085', '12045077', '12042225', '12126546', '11902037', '12027845', '12008124', '12113564', '12378031', '12351246', '12382109', '12358655', '12227082', '12240805']",,DROPERIDOL LACTATE,https://pubchem.ncbi.nlm.nih.gov/compound/9956314,FEATURED,N/A,,COMPOUND
https://drugs.ncats.io/drug/XGF7L72M0F,"['FISH OIL [WHO-DD]', 'FISH OIL [INCI]', 'FISH OILS', 'FISH OIL CONTAINING OMEGA-3 ACIDS [DSC]', 'SMOFLIPID COMPONENT FISH OIL', 'FISH OIL [VANDF]', 'OMEGA-3 FISH OIL']",FISH OIL,['OMEGAVEN'],,,C10AX06,,,,,,0,1,['2016'],0,2016.0,['NDA207648'],[],[],[],[],[],D005395,FISH OIL,https://pubchem.ncbi.nlm.nih.gov/compound/Fish%20Oil,FEATURED,8016-13-5,,COMPOUND
https://drugs.ncats.io/drug/71M78END5S,"['OMEGA-3 FATTY ACIDS', 'OMEGA-3 POLYUNSATURATES [VANDF]', 'OMEGA-3 TRIGLYCERIDES [WHO-DD]', 'OMEGA-3 PHOSPHOLIPIDS [NDI]', 'PHOSPHOLIPIDS [WHO-DD]', 'OMEGA-3 FATTY ACIDS [MART.]', 'OMEGA-3 POLYUNSATURATED FATTY ACIDS [VANDF]', 'OMEGA-3 FATTY ACIDS [WHO-DD]', 'OMEGA-3 ACID TRIGLYCERIDES']",OMEGA-3 FATTY ACIDS,[],,,,,,,,,0,1,['2020'],0,2004.0,"['ANDA210093', 'NDA021654']",[],[],[],[],[],D010743,OMEGA-3 FATTY ACIDS,https://pubchem.ncbi.nlm.nih.gov/compound/Omega-3%20Fatty%20Acids,FEATURED,329042-31-1,,COMPOUND
https://drugs.ncats.io/drug/8VJE55B0VG,"['BACILLUS CALMETTE-GUERIN LIVE ANTIGEN, UNSPECIFIED SUBSTRAIN', 'BACILLUS CALMETTE-GUERIN VACCINE [VANDF]', 'BACILLUS CALMETTE-GUERIN ANTIGEN, UNSPECIFIED SUBSTRAIN', 'BACILLUS CALMETTE-GUERIN ANTIGEN', 'BCG VACCINE [WHO-DD]', 'BCG', 'BCG VACCINE [USP]', 'BACILLUS CALMETTE-GUERIN VACCINE', 'BCG VACCINE', 'BCG VACCINE, LIVE', 'BCG VACCINE, UNSPECIFIED SUBSTRAIN', 'BCG [HPUS]', 'BCG VACCINE [VANDF]']","BACILLUS CALMETTE-GUERIN LIVE ANTIGEN, UNSPECIFIED SUBSTRAIN",[],,,L03AX03,,,,,,0,1,['1989'],0,1989.0,[],[],[],[],[],[],D001500,"BACILLUS CALMETTE-GUERIN LIVE ANTIGEN, UNSPECIFIED SUBSTRAIN",https://pubchem.ncbi.nlm.nih.gov/substance/483933599,RELEVANT,N/A,,SUBSTANCE
https://drugs.ncats.io/drug/47BPR3V3MP,"['INTERFERON ALFA-N3 [PURPLE BOOK, CDER]', 'INTERFERON ALFA-N3, HUMAN LEUKOCYTE', 'INTERFERON ALFA-N3 [WHO-DD]', 'INTERFERON ALFA-N3 [USAN]', 'INTERFERON ALFA-3N,HUMAN LEUKOCYTE DERIVED', 'INTERFERON ALFA-3N,HUMAN LEUKOCYTE DERIVED [VANDF]', 'INTERFERON ALPHA-N3']",INTERFERON ALFA-N3,"['ALFERON', 'ALFERON N']",,,L03AB06,,,,,,0,1,['1989'],0,1989.0,[],[],[],[],[],[],,INTERFERON ALFA-N3,https://pubchem.ncbi.nlm.nih.gov/compound/Interferon%20Alfa-N3,FEATURED,N/A,,COMPOUND
https://drugs.ncats.io/drug/IFJ010MNE4,"['HEPATITIS B VIRUS HBSAG SURFACE PROTEIN ANTIGEN', 'HEPATITIS B SURFACE ANTIGEN (RDNA)', 'HEPATITIS B SURFACE ANTIGEN (RDNA) [EMA EPAR]', 'HEPATITIS B SURFACE ANTIGEN [VANDF]', 'HEPATITIS B SURFACE ANTIGEN VACCINE', 'HEPATITIS B SURFACE ANTIGEN', 'HBSAG', 'HEPATITIS B ANTIGEN', 'HEPATITIS-B SURFACE ANTIGEN', 'HEPATITIS B SURFACE ANTIGENS']",HEPATITIS B VIRUS HBSAG SURFACE PROTEIN ANTIGEN,[],,,,,,,,,0,1,['1989'],0,1986.0,[],[],[],[],[],[],D006514,HEPATITIS B VIRUS HBSAG SURFACE PROTEIN ANTIGEN,https://pubchem.ncbi.nlm.nih.gov/compound/Hepatitis%20B%20Virus%20HBsAg%20Surface%20Protein%20Antigen,FEATURED,N/A,,COMPOUND
https://drugs.ncats.io/drug/FW411QXD5M,"['FACTOR IX COMPLEX', 'FACTOR IX COMPLEX [USP]', 'COAGULATION FACTOR IX COMPLEX HUMAN', 'FACTOR IX COMPLEX HUMAN', 'FACTOR IX COMPLEX,HUMAN [VANDF]', 'FACTOR IX COMPLEX HUMAN [WHO-DD]', 'FACTOR IX COMPLEX,HUMAN', 'FACTOR IX (ANTIHEMOPHILIC FACTOR B), FACTOR II (PROTHROMBIN), FACTOR X (STUART-PROWER FACTOR), AND LOW LEVELS OF FACTOR VII (PROCONVERTIN) DERIVED FROM HUMAN PLASMA']",FACTOR IX COMPLEX,"['KONYNE', 'BEBULIN VH IMMUNO', 'PROFILNINE SD', 'KONYNE 80', 'PROPLEX T']",,,,,,,,,0,1,['1981'],0,1981.0,[],[],[],[],[],[],,FACTOR IX COMPLEX,https://pubchem.ncbi.nlm.nih.gov/substance/481101625,RELEVANT,N/A,,SUBSTANCE
https://drugs.ncats.io/drug/CS849DUN3M,"['ANTI-INHIBITOR COAGULANT COMPLEX', 'FACTOR VIII INHIBITOR BYPASSING FRACTION [WHO-DD]', 'FEIBA', 'ANTIINHIBITOR COAGULANT COMPLEX [VANDF]', 'ANTIINHIBITOR COAGULANT COMPLEX', 'ANTI-INHIBITOR COAGULANT COMPLEX [VANDF]', 'FACTOR VIII BYPASSING FRACTION', 'FACTOR VIII INHIBITOR BYPASSING FRACTION [MART.]', 'FACTOR VIII INHIBITOR BYPASSING ACTIVITY']",ANTI-INHIBITOR COAGULANT COMPLEX,[],,,B02BD03,,,,,,0,1,['1979'],0,1979.0,[],[],[],[],[],[],C065655,ANTI-INHIBITOR COAGULANT COMPLEX,https://pubchem.ncbi.nlm.nih.gov/compound/Anti-Inhibitor%20Coagulant%20Complex,FEATURED,78690-39-8,,COMPOUND
https://drugs.ncats.io/drug/2JR2CU14D2,"['TECHNETIUM TC-99M CATION, UNSPECIFIED', 'TECHNETIUM TC 99M CATION']","TECHNETIUM TC-99M CATION, UNSPECIFIED",[],,,,,,,,,0,1,['1978'],0,1977.0,['NDA018035'],[],"['Osteogenesis', 'Bone Diseases']",[],[],[],,"TECHNETIUM TC-99M CATION, UNSPECIFIED",https://pubchem.ncbi.nlm.nih.gov/substance/472385917,RELEVANT,N/A,,SUBSTANCE
https://drugs.ncats.io/drug/3ASP8Q3768,"['ESTROGENS, ESTERIFIED', 'ESTROGENS, ESTERIFIED [USP]', 'ESTROGENS, ESTERIFIED COMPONENT OF MENRIUM', 'ESTROGENS,ESTERIFIED [VANDF]', 'ESTROGENS, ESTERIFIED [ORANGE BOOK]', 'ESTERIFIED ESTROGENS', 'ESTROGENS,ESTERIFIED', 'MENRIUM COMPONENT ESTROGENS, ESTERIFIED', 'ESTROGENS ESTERIFIED [WHO-DD]']","ESTROGENS, ESTERIFIED","['MENEST', 'EVEX', 'AMNESTROGEN', 'FEMOGEN', 'ESTRATAB']",,,,,,,,,0,1,['1977'],0,1966.0,['ANDA084949'],[],[],[],[],[],,"ESTROGENS, ESTERIFIED","https://pubchem.ncbi.nlm.nih.gov/compound/Estrogens,%20Esterified",FEATURED,50-28-2,"1050677-52-5, 1206475-11-7, 873662-39-6",COMPOUND
https://drugs.ncats.io/drug/1D276TYV9O,"['SODIUM COPPER CHLOROPHYLLIN', 'SODIUM COPPER CHLOROPHYLLIN [JAN]', 'CHLOROPHYLLIN COPPER COMPLEX [WHO-DD]', 'CHLOROPHYLLIN', 'CHLOROPHYLLIN COPPER COMPLEX SODIUM', 'CHLOROPHYLLIN [WHO-DD]', 'CHLOROPHYLLIN COPPER COMPLEX SODIUM [WHO-DD]', 'CHLOROPHYLLIN COPPER COMPLEX SODIUM [USP]']",SODIUM COPPER CHLOROPHYLLIN,[],,,,,,,,,0,0,,0,1950.0,[],['hemopoiesis'],"['Radiation-induced hematopoietic syndrome', 'Cancers', 'Fecal Incontinence']",['US2769011'],['https://www.ncbi.nlm.nih.gov/pubmed/25872101'],['25872101'],C007020,SODIUM COPPER CHLOROPHYLLIN,https://pubchem.ncbi.nlm.nih.gov/compound/23725082,RELEVANT,"85536-03-4, 11006-34-1",,COMPOUND
