url,common,preferred,brand,inn,pubchem,who_atc,cas,originator,stereochemistry,formula,mw,investigational,us_market,us_market_year,us_prev_market,first_year_approval,fda_links,target_list,condition_list,patent_list,pubmed,pmid,mesh,Parsed Molecule,Link,Result Type,CAS,Deprecated CAS,Compound/Substance,components,component_cas,id
https://drugs.ncats.io/drug/06A33308KH,"['STRONTIUM CATION SR-89', 'STRONTIUM-89', 'STRONTIUM (89SR) CATION', 'STRONTIUM SR-89 CATION']",STRONTIUM CATION SR-89,[],,3083408,V10BX01,,,ACHIRAL,Sr,88.907452906,0,1,['2003'],0,1993.0,"['ANDA075941', 'NDA020134']",[],['Metastasis'],[],[],[],,STRONTIUM CATION SR-89,https://pubchem.ncbi.nlm.nih.gov/compound/3083408,FEATURED,145361-94-0,,COMPOUND,[],,IBxSOHsZoe4ZG6A6H2ufYA
https://drugs.ncats.io/drug/550Z839889,"['RUBIDIUM CATION RB-82', '((SUP 82)RB)RUBIDIUM CATION', 'RUBIDIUM RB-82 CATION', 'RUBIDIUM (82RB) CATION']",RUBIDIUM CATION RB-82,[],,10176083,nan,,,ACHIRAL,Rb,81.918207691,0,1,['2016'],0,1989.0,"['NDA202153', 'NDA019414']",[],['Coronary Artery Disease'],[],[],[],,RUBIDIUM CATION RB-82,https://pubchem.ncbi.nlm.nih.gov/compound/10176083,FEATURED,,,COMPOUND,[],,12rRSdv95s_nzhFJ-iN3bA
https://drugs.ncats.io/drug/4877X14G4C,"['THALLOUS CATION TL-201', 'THALLIUM CATION TL-201', 'THALLOUS ION TL-201', 'THALLIUM CATION TL-201 (1+)']",THALLOUS CATION TL-201,[],,10130399,nan,,Kawana M. et al.,ACHIRAL,Tl,200.97080377,0,1,['1982'],0,1977.0,"['NDA018110', 'NDA017806']",[],"['Coronary Artery Disease', 'Myocardial Infarction']",[],['https://www.ncbi.nlm.nih.gov/pubmed/1110421'],['1110421'],,THALLOUS CATION TL-201,https://pubchem.ncbi.nlm.nih.gov/compound/10130399,FEATURED,,,COMPOUND,[],,K9N_AIg4QT_7ossrfQTguw
https://drugs.ncats.io/drug/99T03J52W0,"['GALLIUM CATION GA-67', 'GALLIUM GA-67 CATION', 'GALLIUM (67GA)CATION', 'GALLIUM CATION GA 67']",GALLIUM CATION GA-67,[],,11240419,nan,,,ACHIRAL,Ga,66.928204915,0,1,['1979'],0,1976.0,"['NDA018058', 'NDA017478']",[],"['Bronchogenic Carcinoma', 'Hodgkins Disease', 'Lymphoma']",[],[],[],,GALLIUM CATION GA-67,https://pubchem.ncbi.nlm.nih.gov/compound/11240419,FEATURED,25384-10-5,,COMPOUND,[],,948bPeLoQJaStTkeMGcMsw
https://drugs.ncats.io/drug/72GWV0852V,"['COBALT CO-57', 'COBALT-57', 'COBALT,CO-57 [VANDF]', 'COBALT,CO-57']",COBALT CO-57,[],,104851,nan,,,ACHIRAL,Co,56.936296235,0,0,,1,1963.0,[],[],[],[],[],[],,COBALT CO-57,https://pubchem.ncbi.nlm.nih.gov/compound/104851,FEATURED,13981-50-5,,COMPOUND,[],,gtdhVFpYNUCnmJp-l4XiTQ
https://drugs.ncats.io/drug/N27ADP50ER,['PHOSPHATE ION P-32'],PHOSPHATE ION P-32,[],,167704,nan,,,ACHIRAL,O4P,95.9715,0,0,,1,1957.0,[],[],"['Chronic Lymphocytic Leukemia', 'Polycythemia Vera', 'Chronic Myelocytic Leukemia']",[],"['https://www.ncbi.nlm.nih.gov/pubmed/13859177', 'https://www.ncbi.nlm.nih.gov/pubmed/17396258']","['13859177', '17396258']",,PHOSPHATE ION P-32,https://pubchem.ncbi.nlm.nih.gov/compound/167704,FEATURED,18274-25-4,,COMPOUND,[],,srHSRPV7QEXyCpsmFT2l7g
https://drugs.ncats.io/drug/0W21KB56NS,"['FERROCHOLINATE ANHYDROUS', 'ETHANAMINIUM, 2-HYDROXY-N,N,N-TRIMETHYL-, (OC-6-44)-(2-(HYDROXY-.KAPPA.O)-1,2,3-PROPANETRICARBOXYLATO(4-)-.KAPPA.O1,.KAPPA.O2)FERRATE(1-) (1:1)']",FERROCHOLINATE ANHYDROUS,[],,76966607,nan,,Flint Eaton,ACHIRAL,C6H4O7.C5H14NO.Fe,348.108,0,0,,1,1953.0,[],['hemoglobin metabolic process'],"['Bleeding', 'Anemia, Iron-Deficiency', 'Iron, Dietary']","['US20050042270 A1', 'US2575611 A']",[],[],,FERROCHOLINATE ANHYDROUS,https://pubchem.ncbi.nlm.nih.gov/compound/76966607,FEATURED,,,COMPOUND,"['https://pubchem.ncbi.nlm.nih.gov/compound/311', 'https://pubchem.ncbi.nlm.nih.gov/compound/305', 'https://pubchem.ncbi.nlm.nih.gov/compound/23925']","[77-92-9], [62-49-7, 5413-08-1], [7439-89-6, 33485-98-2, 8048-10-0, 12597-68-1, 14067-02-8, 8053-60-9]",BMp1KF1RPqmZmGKvWK8mIA
https://drugs.ncats.io/drug/SVU4HTP02M,['CHROMATE ION CR-51'],CHROMATE ION CR-51,[],,3080663,nan,,,ACHIRAL,CrO4,114.9424,0,0,,1,1952.0,[],[],"['Polycythemia', 'Spherocytosis, Hereditary', 'Acquired Hemolytic Anemia']",[],[],[],,CHROMATE ION CR-51,https://pubchem.ncbi.nlm.nih.gov/compound/3080663,FEATURED,,,COMPOUND,[],,yittC9qB_wTDOlaBOFacWA
https://drugs.ncats.io/drug/225M14T7DD,['ADENOSINE PHOSPHATE DIPOTASSIUM [WHO-DD]'],ADENOSINE PHOSPHATE DIPOTASSIUM,[],,66927421,nan,,,ABSOLUTE,C10H12N5O7P.2K,423.4019,0,0,,1,1949.0,[],"[""5'-nucleotidase"", 'Adrenergic receptor']","['Asthma', 'Ischemia']","['JP2000041695A', 'JP2000262296A', 'JP2001288043A', 'JP2001288048A', 'JP2002338467A', 'JP2002520061A', 'JP2003250555A', 'JP2005104886A', 'JP2006193445A', 'JP2006518843A', 'JP2008532605A', 'JP2009060809A', 'JP2009523584A', 'JPH01214352A', 'JPH03120438A', 'JPH0343A', 'JPH0368564A', 'JPH04164254A', 'JPH04305528A', 'JPH05252899A', 'JPH0769896A', 'JPH09285267A', 'JPH1082757A', 'JPH11244296A', 'JPS05765181A', 'JPS05820197A', 'JPS0678594A', 'JPS56115800A', 'JPS5711998A', 'JPS5711999A', 'JPS57166992A', 'JPS572695A', 'JPS59106296A', 'JPS59109153A', 'JPS61260895A', 'JPS62286904A', 'JPS6311848A']","['https://www.ncbi.nlm.nih.gov/pubmed/10891366', 'https://www.ncbi.nlm.nih.gov/pubmed/11161043', 'https://www.ncbi.nlm.nih.gov/pubmed/11160870', 'https://www.ncbi.nlm.nih.gov/pubmed/11160494', 'https://www.ncbi.nlm.nih.gov/pubmed/11159843', 'https://www.ncbi.nlm.nih.gov/pubmed/11159051', 'https://www.ncbi.nlm.nih.gov/pubmed/11159049', 'https://www.ncbi.nlm.nih.gov/pubmed/11158922', 'https://www.ncbi.nlm.nih.gov/pubmed/11156949', 'https://www.ncbi.nlm.nih.gov/pubmed/11157750', 'https://www.ncbi.nlm.nih.gov/pubmed/11157083', 'https://www.ncbi.nlm.nih.gov/pubmed/11056163', 'https://www.ncbi.nlm.nih.gov/pubmed/11166293', 'https://www.ncbi.nlm.nih.gov/pubmed/11166282', 'https://www.ncbi.nlm.nih.gov/pubmed/11050094', 'https://www.ncbi.nlm.nih.gov/pubmed/11165765', 'https://www.ncbi.nlm.nih.gov/pubmed/11165399', 'https://www.ncbi.nlm.nih.gov/pubmed/11164256', 'https://www.ncbi.nlm.nih.gov/pubmed/11158447', 'https://www.ncbi.nlm.nih.gov/pubmed/11152733', 'https://www.ncbi.nlm.nih.gov/pubmed/11152649', 'https://www.ncbi.nlm.nih.gov/pubmed/11149914', 'https://www.ncbi.nlm.nih.gov/pubmed/11149913', 'https://www.ncbi.nlm.nih.gov/pubmed/11145997', 'https://www.ncbi.nlm.nih.gov/pubmed/11145991', 'https://www.ncbi.nlm.nih.gov/pubmed/11145747', 'https://www.ncbi.nlm.nih.gov/pubmed/11145597', 'https://www.ncbi.nlm.nih.gov/pubmed/11139778', 'https://www.ncbi.nlm.nih.gov/pubmed/11125425', 'https://www.ncbi.nlm.nih.gov/pubmed/11121795', 'https://www.ncbi.nlm.nih.gov/pubmed/11121109', 'https://www.ncbi.nlm.nih.gov/pubmed/11150326', 'https://www.ncbi.nlm.nih.gov/pubmed/11149419', 'https://www.ncbi.nlm.nih.gov/pubmed/11146433', 'https://www.ncbi.nlm.nih.gov/pubmed/11146432', 'https://www.ncbi.nlm.nih.gov/pubmed/11136860', 'https://www.ncbi.nlm.nih.gov/pubmed/11135456', 'https://www.ncbi.nlm.nih.gov/pubmed/11123278', 'https://www.ncbi.nlm.nih.gov/pubmed/11164391', 'https://www.ncbi.nlm.nih.gov/pubmed/11121888', 'https://www.ncbi.nlm.nih.gov/pubmed/11013258', 'https://www.ncbi.nlm.nih.gov/pubmed/11145682', 'https://www.ncbi.nlm.nih.gov/pubmed/11115647', 'https://www.ncbi.nlm.nih.gov/pubmed/11029467', 'https://www.ncbi.nlm.nih.gov/pubmed/11164953', 'https://www.ncbi.nlm.nih.gov/pubmed/11134014', 'https://www.ncbi.nlm.nih.gov/pubmed/11124960', 'https://www.ncbi.nlm.nih.gov/pubmed/11120746']","['10891366', '11161043', '11160870', '11160494', '11159843', '11159051', '11159049', '11158922', '11156949', '11157750', '11157083', '11056163', '11166293', '11166282', '11050094', '11165765', '11165399', '11164256', '11158447', '11152733', '11152649', '11149914', '11149913', '11145997', '11145991', '11145747', '11145597', '11139778', '11125425', '11121795', '11121109', '11150326', '11149419', '11146433', '11146432', '11136860', '11135456', '11123278', '11164391', '11121888', '11013258', '11145682', '11115647', '11029467', '11164953', '11134014', '11124960', '11120746']",,ADENOSINE PHOSPHATE DIPOTASSIUM,https://pubchem.ncbi.nlm.nih.gov/compound/66927421,FEATURED,,,COMPOUND,"['https://pubchem.ncbi.nlm.nih.gov/compound/6083', 'https://pubchem.ncbi.nlm.nih.gov/compound/5462222']","[61-19-8, 136920-07-5, 82530-89-0], [7440-09-7]",Hgl1DFf70Yv0z9po8v0pig
https://drugs.ncats.io/drug/00VYB05KWP,"['BACITRACIN A METHYLENEDISALICYLATE', 'BACITRACIN A METHYLENE DISALICYLATE']",BACITRACIN A METHYLENEDISALICYLATE,[],,73416448,nan,,,ABSOLUTE,C66H103N17O16S.C15H12O6,1710.946,0,0,,0,2015.0,[],[],[],[],[],[],,BACITRACIN A METHYLENEDISALICYLATE,https://pubchem.ncbi.nlm.nih.gov/compound/73416448,FEATURED,,,COMPOUND,"['https://pubchem.ncbi.nlm.nih.gov/compound/67145', 'https://pubchem.ncbi.nlm.nih.gov/compound/10909430']","[122-25-8], [1405-87-4, 22601-59-8]",6pKvSa5BOgfJYvpvWMr1Eg
