url,common,preferred,brand,inn,pubchem,who_atc,cas,originator,stereochemistry,formula,mw,investigational,us_market,us_market_year,us_prev_market,first_year_approval,fda_links,target_list,condition_list,patent_list,pubmed,pmid,mesh,Parsed Molecule,Link,Result Type,CAS,Deprecated CAS,Compound/Substance,id
923287-50-7,https://drugs.ncats.io/drug/Y5929UIJ5N,"['OPICAPONE [WHO-DD]', 'OPICAPONE [USAN]', 'OPICAPONE [INN]']",OPICAPONE,[],9268.0,nan,N04BX04,Portela,ACHIRAL,C15H10Cl2N4O6,413.169,0,1,['2020'],0,2020.0,['NDA212489'],['Catechol O-methyltransferase'],"[""Parkinson's Disease""]","['20090054437', '20100113529', '20100256193', 'JP2011529489A']","['https://www.ncbi.nlm.nih.gov/pubmed/20334432', 'https://www.ncbi.nlm.nih.gov/pubmed/24847974', 'https://www.ncbi.nlm.nih.gov/pubmed/26725544']","['20334432', '24847974', '26725544']",C549349,OPICAPONE,https://pubchem.ncbi.nlm.nih.gov/compound/135565903,FEATURED,923287-50-7,,COMPOUND,
6104-58-1,https://drugs.ncats.io/drug/M1ZRX790SI,"['BRILLIANT BLUE G', 'BENZENEMETHANAMINIUM, N-(4-((4-((4-ETHOXYPHENYL)AMINO)PHENYL)(4-(ETHYL((3-SULFOPHENYL)METHYL)AMINO)-2-METHYLPHENYL)METHYLENE)-3-METHYL-2,5-CYCLOHEXADIEN-1-YLIDENE)-N-ETHYL-3-SULFO-, INNER SALT, MONOSODIUM SALT', 'BRILLIANT BLUE G [JAN]', 'COOMASSIE BLUE G 250', 'DYME', 'C.I. ACID BLUE 90', 'BBG-250', 'COOMASSIE BLUE G-250']",BRILLIANT BLUE G,[],,nan,,"Mihalik, B.",ACHIRAL,C47H48N3O7S2.Na,854.02,0,1,['2019'],0,2019.0,['NDA209569'],"['P2X purinoceptor 2', 'P2X purinoceptor 4', 'P2X purinoceptor 7']","['Macular Hole', 'Epiretinal Membrane']",['WO2017171001'],['https://www.ncbi.nlm.nih.gov/pubmed/18653608'],['18653608'],,BRILLIANT BLUE G,https://pubchem.ncbi.nlm.nih.gov/compound/6324599,FEATURED,6104-58-1,"107120-23-0, 167396-16-9, 55965-18-9, 93907-61-0",COMPOUND,
75921-69-6,https://drugs.ncats.io/drug/QW68W3J66U,"['.ALPHA.-MELANOTROPIN (SWINE), 4-L-NORLEUCINE-7-D-PHENYLALANINE-', 'AC-SER-TYR-SER-NLE-GLU-HIS-D-PHE-ARG-TRP-GLY-LYS-PRO-VAL-NH2', 'AFAMELANOTIDE [INN]', 'AFAMELANOTIDE [WHO-DD]', 'AFAMELANOTIDE [USAN]', 'AFAMELANOTIDE [MI]', 'MELANOTAN-1', 'MELANOTAN I']",AFAMELANOTIDE,[],9010.0,nan,D02BB02,,ABSOLUTE,C78H111N21O19,1646.8452,0,1,['2019'],0,2019.0,['NDA210797'],[],[],[],"['https://www.ncbi.nlm.nih.gov/pubmed/10493100', 'https://www.ncbi.nlm.nih.gov/pubmed/11101306', 'https://www.ncbi.nlm.nih.gov/pubmed/12007532']","['10493100', '11101306', '12007532']",C534526,AFAMELANOTIDE,https://pubchem.ncbi.nlm.nih.gov/compound/16197727,FEATURED,75921-69-6,"103088-28-4, 162112-36-9, 272781-22-3",COMPOUND,
1207456-01-6,https://drugs.ncats.io/drug/9QHX048FRV,"['TALAZOPARIB [INN]', 'TALAZOPARIB [USAN]', 'TALAZOPARIB [WHO-DD]']",TALAZOPARIB,[],9868.0,nan,L01XX60,LEAD Therapeutics,ABSOLUTE,C19H14F2N6O,380.3509,0,1,['2018'],0,2018.0,['NDA211651'],"['Poly [ADP-ribose] polymerase 2', 'Poly [ADP-ribose] polymerase-1']","['Breast Neoplasms', 'Ovarian Neoplasms']","['WO/2015/164586A1', 'WO/2016/018089A1']","['https://www.ncbi.nlm.nih.gov/pubmed/25795821', 'https://www.ncbi.nlm.nih.gov/pubmed/20871615', 'https://www.ncbi.nlm.nih.gov/pubmed/23118055', 'https://www.ncbi.nlm.nih.gov/pubmed/25195882', 'https://www.ncbi.nlm.nih.gov/pubmed/25708226']","['25795821', '20871615', '23118055', '25195882', '25708226']",,TALAZOPARIB,https://pubchem.ncbi.nlm.nih.gov/compound/135565082,FEATURED,"1207456-01-6, 1207454-56-5, 1373431-65-2",,COMPOUND,
85081-18-1,https://drugs.ncats.io/drug/IFRYDMLSGE,"['NBI-98782', '(+)-(2R,3R,11BR)-DIHYDROTETRABENAZINE', '(+)-DTBZ', '(+)-alpha-dihydrotetrabenazine', '(+)-.ALPHA.-DIHYDROTETRABENAZINE', '(+)-DIHYDROTETRABENAZINE', 'DIHYDROTETRABENAZINE, (+)-.ALPHA.-']",NBI-98782,[],,nan,,Adeptio Pharmaceuticals,ABSOLUTE,C19H29NO3,319.4385,0,1,['2017'],0,2017.0,['NDA209241'],"['Synaptic vesicular amine transporter', 'Synaptic vesicular amine transporter']","['Neurological Disorders', 'Tardive Dyskinesia']","['20080167337', '20120077839', '8357697', 'EP2012833A4', 'US8562949', 'WO2005077946A1', 'WO2014120654A1', 'WO2015077520A1', 'WO2015077521A1', 'WO2015112707A1']","['https://www.ncbi.nlm.nih.gov/pubmed/22742980', 'https://www.ncbi.nlm.nih.gov/pubmed/25881691', 'https://www.ncbi.nlm.nih.gov/pubmed/28743955', 'https://www.ncbi.nlm.nih.gov/pubmed/28404690', 'https://www.ncbi.nlm.nih.gov/pubmed/28776237']","['22742980', '25881691', '28743955', '28404690', '28776237']",,NBI-98782,https://pubchem.ncbi.nlm.nih.gov/compound/14580381,FEATURED,"85081-18-1, 171598-74-6",,COMPOUND,
129025-21-4,https://drugs.ncats.io/drug/A9R10K3F2F,"['LEVOMEFOLATE CALCIUM [VANDF]', 'SAFYRAL COMPONENT LEVOMEFOLATE CALCIUM', '6(S)-5-METHYLTETRAHYDROFOLIC ACID, CALCIUM SALT [NDI]', 'CALCIUM LEVOMEFOLATE [WHO-DD]', 'L-5-METHYLTETRAHYDROFOLATE CALCIUM', 'LEVOMEFOLATE CALCIUM [ORANGE BOOK]', 'BEYAZ COMPONENT LEVOMEFOLATE CALCIUM', 'LEVOMEFOLATE CALCIUM COMPONENT OF BEYAZ', 'CALCIUM L-5-METHYLTETRAHYDROFOLATE', 'CALCIUM LEVOMEFOLATE [MART.]', 'LEVOMEFOLINATE CALCIUM', 'L-METHYLFOLATE-CALCIUM', 'CALCIUM L-5-METHYLTETRAHYDROFOLATE [DSC]', 'LEVOMEFOLATE CALCIUM COMPONENT OF SAFYRAL', 'CALCIUM LEVOMEFOLATE', 'L-5-METHYLTETRAHYDROFOLIC ACID, CALCIUM SALT', 'BODYFOLIN', 'L-5-MTHF-CA', 'LEVOMEFOLATE CALCIUM [USAN]']",LEVOMEFOLATE CALCIUM,"['EXTRAFOLATE-S', 'METAFOLIN']",,nan,,,ABSOLUTE,C20H23N7O6.Ca,497.518,0,1,['2017'],0,2010.0,"['ANDA205948', 'NDA022532']",[],[],[],[],[],C569381,LEVOMEFOLATE CALCIUM,https://pubchem.ncbi.nlm.nih.gov/compound/135564391,FEATURED,151533-22-1,,COMPOUND,
120583-71-3,https://drugs.ncats.io/drug/01NP22J3SV,"['LUMEFANTRINE, (-)-', 'L-BENFLUMELOL']","LUMEFANTRINE, (-)-",[],,nan,,Academy of Military Medical Sciences,UNKNOWN,C30H32Cl3NO,528.94,0,1,['2009'],0,2009.0,['NDA022268'],['Hemin'],['Malaria'],"['JP2006503898A', 'JP2011524365A']","['https://www.ncbi.nlm.nih.gov/pubmed/20065051', 'https://www.ncbi.nlm.nih.gov/pubmed/21849221', 'https://www.ncbi.nlm.nih.gov/pubmed/24341604', 'https://www.ncbi.nlm.nih.gov/pubmed/24561477', 'https://www.ncbi.nlm.nih.gov/pubmed/24618129']","['20065051', '21849221', '24341604', '24561477', '24618129']",,"LUMEFANTRINE, (-)-",https://pubchem.ncbi.nlm.nih.gov/compound/6437380,FEATURED,"82186-77-4, 120583-70-2, 120583-71-3",120583-69-9,COMPOUND,
390745-19-4,https://drugs.ncats.io/drug/4MQ5UQAIB8,['ROMIDEPSIN REDUCED'],FR-135313,[],,nan,,,ABSOLUTE,C24H38N4O6S2,542.712,0,1,['2020'],0,2009.0,"['NDA208574', 'NDA022393']",[],[],[],[],[],,FR-135313,https://pubchem.ncbi.nlm.nih.gov/compound/9828788,FEATURED,390745-19-4,,COMPOUND,
2097678-09-4,https://drugs.ncats.io/drug/S56D65XJ9G,"['ELTROMBOPAG [INN]', 'ELTROMBOPAG [EMA EPAR]', ""(1,1'-BIPHENYL)-3-CARBOXYLIC ACID, 3'-((2Z)-(1-(3,4-DIMETHYLPHENYL)-1,5-DIHYDRO-3-METHYL-5-OXO-4H-PYRAZOL-4-YLIDENE)HYDRAZINO)-2'-HYDROXY-"", 'ELTROMBOPAG [MART.]', 'ELTROMBOPAG [MI]', 'ELTROMBOPAG [WHO-DD]', 'ELTROMBOPAG [VANDF]']",ELTROMBOPAG,[],8655.0,nan,B02BX05,Ligand Pharmaceuticals,ACHIRAL,C25H22N4O4,442.4666,0,1,['2008'],0,2008.0,['NDA022291'],['Thrombopoietin receptor'],"['Immune Thrombocytopenia', 'Aplastic Anemia', 'Thrombocytopenia']","['20040019190', 'JP2006525352A', 'JP2010265317A']","['https://www.ncbi.nlm.nih.gov/pubmed/15781124', 'https://www.ncbi.nlm.nih.gov/pubmed/18366111', 'https://www.ncbi.nlm.nih.gov/pubmed/18433923', 'https://www.ncbi.nlm.nih.gov/pubmed/21646437', 'https://www.ncbi.nlm.nih.gov/pubmed/23821332']","['15781124', '18366111', '18433923', '21646437', '23821332']",C520809,ELTROMBOPAG,https://pubchem.ncbi.nlm.nih.gov/compound/Eltrombopag,FEATURED,496775-61-2,2097678-09-4,COMPOUND,
2538-83-2,https://drugs.ncats.io/drug/768N7QO4KH,"['TRYPAN BLUE FREE ACID', ""2,7-NAPHTHALENEDISULFONIC ACID, 3,3'-((3,3'-DIMETHYL(1,1'-BIPHENYL)-4,4'-DIYL)BIS(AZO))BIS(5-AMINO-4-HYDROXY-""]",TRYPAN BLUE FREE ACID,[],,nan,,"Ehrlich, P.",ACHIRAL,C34H28N6O14S4,872.878,0,1,['2009'],0,2004.0,"['NDA022278', 'NDA021670']",['membranes in the human eye'],"['Glaucoma', 'Cataract', 'Epiretinal Membranes']",['CN106268960'],['https://www.ncbi.nlm.nih.gov/pubmed/23220588'],['23220588'],,TRYPAN BLUE FREE ACID,https://pubchem.ncbi.nlm.nih.gov/compound/Trypan%20Blue%20free%20acid,FEATURED,2538-83-2,,COMPOUND,
