New CAS,New Deprecated CAS
623-84-7,"134236-23-0, 1432741-27-9"
"36653-82-4, 36311-34-9, 124-29-8","168679-13-8, 1173838-87-3, 124-29-8, 55069-45-9, 8014-51-5, 8023-37-8, 8032-16-4, 8032-17-5, 8032-89-1, 1173838-87-3, 55069-45-9, 8014-51-5, 8023-37-8, 8032-16-4, 8032-17-5, 8032-89-1, 124-29-8"
"112-92-5, 26762-44-7","193766-48-2, 8014-37-7, 8032-19-7, 8032-21-1, 8034-90-0, 193766-48-2, 8014-37-7, 8032-21-1, 8034-90-0"
N/A,N/A
"328-50-7, 34410-46-3, 17091-15-5, 997-43-3",27175-99-1
N/A,
"67-63-0, 3958-66-5",8013-70-5
56-12-2,3131-86-0
N/A,N/A
566-19-8,
148-24-3,"123574-67-4, 24804-14-6, 123574-67-4"
136470-78-5,
247062-33-5,506422-98-6
183552-38-7,
332348-12-6,213252-14-3
143653-53-6,
1231929-97-7,
154229-18-2,
N/A,
N/A,
N/A,
N/A,
1420477-60-6,
77337-76-9,
56180-94-0,
37517-30-9,28197-63-9
110042-95-0,110865-83-3
61-00-7,
33665-90-6,
59-66-5,"5661-25-6, 8017-69-4, 909032-78-6, 8017-69-4"
"64-19-7, 546-67-8, 2887-46-9, 77671-22-8, 57745-60-5, 285977-76-6, 8028-52-2","1053656-97-5, 1173022-32-6, 77671-22-8, 612524-90-0, 1053656-97-5, 463-83-2"
968-81-0,8054-32-8
546-88-3,
67-64-1,
N/A,
3040-38-8,"3624-25-7, 461-77-8, 541-68-4, 74832-89-6"
"51-84-3, 14047-05-3, 14586-35-7",
"616-91-1, 7218-04-4","1261105-20-7, 7696-05-1"
50-78-2,"11126-35-5, 11126-37-7, 2087491-38-9, 2349-94-2, 26914-13-6, 98201-60-6, 11126-35-5, 11126-37-7, 2349-94-2, 26914-13-6"
80-74-0,
"977000-16-0, 8022-07-9",
"59277-89-3, 125440-97-3",
"55079-83-9, 54757-46-9, 419534-31-9",
320345-99-1,
N/A,
87848-99-5,
331731-18-1,
106685-40-9,
142340-99-6,
"29908-03-0, 17176-17-9, 78548-84-2, 91279-78-6","23095-97-8, 2613-02-7, 28378-99-6, 5134-37-2, 86522-35-2, 86866-89-9, 23095-97-8, 2613-02-7, 28378-99-6, 86522-35-2, 86866-89-9, 78548-84-2"
"58-61-7, 133248-01-8","46946-45-6, 46969-16-8, 1348387-95-0, 46946-45-6, 46969-16-8, 46969-16-8"
"51963-61-2, 56-65-5, 11016-17-4","10168-83-9, 1259312-93-0, 16488-07-6, 51569-41-6, 71800-44-7, 84412-18-0, 896506-78-8, 917074-14-7, 10168-83-9, 1259312-93-0, 51569-41-6, 71800-44-7, 84412-18-0, 896506-78-8, 917074-14-7"
606-17-7,
N/A,
N/A,
"850140-72-6, 439081-18-2",
862111-32-8,924289-53-2
104138-64-9,9025-35-8
N/A,
"56-41-7, 26336-61-8, 130380-93-7, 18875-37-1, 25191-17-7, 77160-91-9, 25840-83-9, 25840-84-0, 19291-17-9, 28809-04-3, 302-72-7","1150316-17-8, 115967-49-2, 170805-71-7, 6898-94-8, 759445-89-1, 787635-21-6"
146961-76-4,157182-32-6
54965-21-8,
782500-75-8,
"33069-62-4, 92950-39-5","1203669-79-7, 157069-30-2"
1357448-54-4,
147084-10-4,
"67452-97-5, 66734-13-2",
110942-02-4,119913-24-5
5579-81-7,"12125-29-0, 2015-24-9, 52931-97-2"
1256580-46-7,1416163-60-4
222535-22-0,
216503-57-0,"126775-97-1, 478159-77-2, 727728-72-5"
66376-36-1,
71195-58-9,
81403-80-7,"128707-53-9, 86163-78-2"
9005-32-7,"1444006-48-7, 2010157-07-8, 210888-24-7, 545434-56-8, 865838-47-7, 865838-48-8"
143003-46-7,
420784-05-0,
1245916-14-6,
173334-57-1,"401809-63-0, 957114-21-5"
5300-03-8,
"55-98-1, 29166-53-8",
97-59-6,"37305-69-4, 5377-33-3, 58308-55-7"
N/A,
N/A,
"315-30-0, 184789-03-5, 691008-24-9, 9002-17-9, 12771-69-6","184856-42-6, 22767-92-6, 39464-14-7"
"57-06-7, 8007-40-7","1001911-93-8, 107231-30-1, 50888-64-7, 50978-48-8, 58391-87-0, 107231-30-1, 50888-64-7, 58391-87-0"
"154323-57-6, 181183-52-8",
N/A,
"1415-73-2, 8015-61-0, 5133-19-7","10361-17-8, 11019-96-8, 25429-08-7, 31017-11-5, 31048-97-2, 5133-19-7, 11019-96-8, 20226-90-8, 25429-08-7, 31017-11-5, 31048-97-2, 73649-92-0"
"850649-61-5, 1246610-75-2",
122852-42-0,
7493-95-0,
"9005-82-7, 6401-81-6, 1109-28-0","7482-74-8, 37243-82-6, 9051-21-2, 9060-22-4"
7488-99-5,"24319-81-1, 432-70-2"
N/A,
N/A,
28981-97-7,
745-65-3,"22299-37-2, 50-83-9, 50865-30-0"
105857-23-6,93928-26-8
N/A,
645-05-6,
