CAS,Deprecated CAS
"328-50-7, 34410-46-3, 17091-15-5",27175-99-1
"64-19-7, 546-67-8, 2887-46-9, 77671-22-8, 57745-60-5, 285977-76-6, 8028-52-2","1053656-97-5, 1173022-32-6, 77671-22-8, 612524-90-0, 1053656-97-5, 463-83-2"
968-81-0,8054-32-8
50-78-2,"11126-35-5, 11126-37-7, 2087491-38-9, 2349-94-2, 26914-13-6, 98201-60-6, 11126-35-5, 11126-37-7, 2349-94-2, 26914-13-6"
"59277-89-3, 125440-97-3",
56-65-5,"10168-83-9, 1259312-93-0, 16488-07-6, 51569-41-6, 71800-44-7, 84412-18-0, 896506-78-8, 917074-14-7, 10168-83-9, 1259312-93-0, 51569-41-6, 71800-44-7, 84412-18-0, 896506-78-8, 917074-14-7"
"56-41-7, 26336-61-8, 130380-93-7, 18875-37-1, 25191-17-7, 77160-91-9, 25840-83-9, 25840-84-0, 19291-17-9, 28809-04-3, 302-72-7","1150316-17-8, 115967-49-2, 170805-71-7, 6898-94-8, 759445-89-1, 787635-21-6"
105857-23-6,93928-26-8
"7429-90-5, 91728-14-2","1107613-92-2, 1107614-02-7, 113962-66-6, 121630-48-6, 12766-45-9, 1374563-19-5, 1374563-22-0, 1621997-91-8, 1799386-26-7, 182260-45-3, 1826890-06-5, 185464-37-3, 1946759-18-7, 2014335-16-9, 2247261-17-0, 2247261-42-1, 2247261-50-1, 2250318-40-0, 2412445-90-8, 257888-99-6, 2701539-61-7, 298688-47-8, 349608-51-1, 37202-64-5, 39302-71-1, 39332-62-2, 477951-22-7, 80341-19-1, 91728-14-2, 934749-46-9, 1107613-92-2, 1107614-02-7, 113962-66-6, 121630-48-6, 12766-45-9, 1374563-19-5, 1374563-22-0, 1621997-91-8, 1799386-26-7, 182260-45-3, 1826890-06-5, 185464-37-3, 1946759-18-7, 2014335-16-9, 2247261-17-0, 2247261-42-1, 2247261-50-1, 2250318-40-0, 2412445-90-8, 257888-99-6, 2701539-61-7, 2758176-71-3, 2826961-24-2, 2832056-54-7, 2923573-53-7, 2923573-54-8, 2923573-55-9, 2924823-56-1, 298688-47-8, 349608-51-1, 37202-64-5, 39302-71-1, 39332-62-2, 477951-22-7, 80341-19-1, 91728-14-2, 934749-46-9, 1107614-02-7, 113962-66-6, 121630-48-6, 12766-45-9, 182260-45-3, 185464-37-3, 257888-99-6, 298688-47-8, 37202-64-5, 39302-71-1, 39332-62-2, 80341-19-1, 91728-14-2, 934749-46-9"
"300-62-9, 60-15-1","17108-96-2, 60-15-1, 96332-84-2, 60-15-1, 96332-84-2"
