Unnamed: 0,Original Molecule,Parsed Molecule,Link,Result Type,CAS,Deprecated CAS,Compound/Substance,Depositor Synonym List,Regular Synonym List,Synonym?,,
0,1-2-PROPANEDIOL_DIACETATE,"1,2 PROPANEDIOL DIACETATE",https://pubchem.ncbi.nlm.nih.gov/compound/12198,RELEVANT,623-84-7,"134236-23-0, 1432741-27-9",COMPOUND,YES,YES,YES,,
1,1-HEXADECANOL,1 HEXADECANOL,https://pubchem.ncbi.nlm.nih.gov/compound/2682,RELEVANT,"36653-82-4, 36311-34-9, 124-29-8","168679-13-8, 1173838-87-3, 124-29-8, 55069-45-9, 8014-51-5, 8023-37-8, 8032-16-4, 8032-17-5, 8032-89-1, 1173838-87-3, 55069-45-9, 8014-51-5, 8023-37-8, 8032-16-4, 8032-17-5, 8032-89-1, 124-29-8",COMPOUND,YES,YES,YES,,
2,1-OCTADECANOL,1 OCTADECANOL,https://pubchem.ncbi.nlm.nih.gov/compound/8221,RELEVANT,"112-92-5, 26762-44-7","193766-48-2, 8014-37-7, 8032-19-7, 8032-21-1, 8034-90-0, 193766-48-2, 8014-37-7, 8032-21-1, 8034-90-0",COMPOUND,YES,YES,YES,,
3,2-3-(2-IODOPROPYLIDENEDIOXY)PROPANOL,"2,3-(2 IODOPROPYLIDENEDIOXY)PROPANOL",No Link,Not Found,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO,,
4,2-OXOGLUTARIC_ACID,2 OXOGLUTARIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/51,FEATURED,"328-50-7, 34410-46-3, 17091-15-5",27175-99-1,COMPOUND,YES,YES,YES,,
5,2-PHENOXYETHANOL,2 PHENOXYETHANOL,https://pubchem.ncbi.nlm.nih.gov/compound/17972278,FEATURED,No CAS info,No CAS info,COMPOUND,NO,MISSING,NO,,
6,2-PROPANOL,2 PROPANOL,https://pubchem.ncbi.nlm.nih.gov/compound/3776,FEATURED,"67-63-0, 3958-66-5, 555-31-7",8013-70-5,COMPOUND,YES,YES,YES,,
7,4-AMINOBUTYRIC_ACID,4 AMINOBUTYRIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/119,FEATURED,1956-12-02,3131-86-0,COMPOUND,YES,YES,YES,,
8,7-KETO_DEHYDRANDROSTERONE,7 KETO DEHYDRANDROSTERONE,No Link,Not Found,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO,,
9,7-OXO-DEHYDROEPIANDROSTERONE,7 OXO-DEHYDROEPIANDROSTERONE,https://pubchem.ncbi.nlm.nih.gov/compound/193313,RELEVANT,566-19-8,No CAS info,COMPOUND,YES,YES,YES,,
10,8-QUINOLINOL,8 QUINOLINOL,https://pubchem.ncbi.nlm.nih.gov/compound/1923,FEATURED,148-24-3,"123574-67-4, 24804-14-6, 123574-67-4",COMPOUND,YES,YES,YES,,
11,ABACAVIR,ABACAVIR,https://pubchem.ncbi.nlm.nih.gov/compound/441300,FEATURED,136470-78-5,No CAS info,COMPOUND,YES,YES,YES,,
12,ABALOPARATIDE,ABALOPARATIDE,https://pubchem.ncbi.nlm.nih.gov/compound/Abaloparatide,FEATURED,247062-33-5,506422-98-6,COMPOUND,MISSING,YES,YES,,
13,ABARELIX,ABARELIX,https://pubchem.ncbi.nlm.nih.gov/compound/16131215,FEATURED,183552-38-7,No CAS info,COMPOUND,YES,YES,YES,,
14,ABATACEPT,ABATACEPT,https://pubchem.ncbi.nlm.nih.gov/compound/Abatacept,FEATURED,332348-12-6,213252-14-3,COMPOUND,MISSING,YES,YES,,
15,ABCIXIMAB,ABCIXIMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Abciximab,FEATURED,143653-53-6,No CAS info,COMPOUND,MISSING,YES,YES,,
16,ABEMACICLIB,ABEMACICLIB,https://pubchem.ncbi.nlm.nih.gov/compound/46220502,FEATURED,1231929-97-7,No CAS info,COMPOUND,YES,YES,YES,,
17,ABIRATERONE_ACETATE,ABIRATERONE ACETATE,https://pubchem.ncbi.nlm.nih.gov/compound/9821849,FEATURED,154229-18-2,No CAS info,COMPOUND,YES,YES,YES,,
18,ABRUS_PRECATORIUS,ABRUS PRECATORIUS,https://pubchem.ncbi.nlm.nih.gov/substance/482044096,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO,,
19,ABSORBABLE_GELATIN/COLLAGEN_SPONGE,ABSORBABLE GELATIN/COLLAGEN SPONGE,https://pubmed.ncbi.nlm.nih.gov/24377182,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO,,
20,ACACIA_CATECHU,ACACIA CATECHU,https://pubchem.ncbi.nlm.nih.gov/substance/482039925,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO,,
21,ACACIA_SENEGAL,ACACIA SENEGAL,https://pubchem.ncbi.nlm.nih.gov/substance/482044117,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO,,
22,ACALABRUTINIB,ACALABRUTINIB,https://pubchem.ncbi.nlm.nih.gov/compound/71226662,FEATURED,1420477-60-6,No CAS info,COMPOUND,YES,YES,YES,,
23,ACAMPROSATE,ACAMPROSATE,https://pubchem.ncbi.nlm.nih.gov/compound/71158,FEATURED,77337-76-9,No CAS info,COMPOUND,YES,YES,YES,,
24,ACARBOSE,ACARBOSE,https://pubchem.ncbi.nlm.nih.gov/compound/41774,FEATURED,56180-94-0,No CAS info,COMPOUND,YES,YES,YES,,
25,ACEBUTOLOL,ACEBUTOLOL,https://pubchem.ncbi.nlm.nih.gov/compound/1978,FEATURED,37517-30-9,28197-63-9,COMPOUND,YES,YES,YES,,
26,ACEMANNAN,ACEMANNAN,https://pubchem.ncbi.nlm.nih.gov/compound/72041,FEATURED,110042-95-0,110865-83-3,COMPOUND,YES,YES,YES,,
27,ACEPROMAZINE,ACEPROMAZINE,https://pubchem.ncbi.nlm.nih.gov/compound/6077,FEATURED,61-00-7,No CAS info,COMPOUND,YES,YES,YES,,
28,ACESULFAME,ACESULFAME,https://pubchem.ncbi.nlm.nih.gov/compound/36573,FEATURED,33665-90-6,No CAS info,COMPOUND,YES,YES,YES,,
29,ACETAZOLAMIDE,ACETAZOLAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/1986,FEATURED,59-66-5,"5661-25-6, 8017-69-4, 909032-78-6, 8017-69-4",COMPOUND,YES,YES,YES,,
30,ACETIC_ACID,ACETIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/176,FEATURED,"64-19-7, 546-67-8, 2887-46-9, 77671-22-8, 57745-60-5, 79562-15-5, 63459-47-2, 285977-76-6, 8028-52-2","1053656-97-5, 1173022-32-6, 77671-22-8, 612524-90-0, 1053656-97-5, 463-83-2",COMPOUND,YES,YES,YES,,
31,ACETOHEXAMIDE,ACETOHEXAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/1989,FEATURED,968-81-0,8054-32-8,COMPOUND,YES,YES,YES,,
32,ACETOHYDROXAMIC_ACID,ACETOHYDROXAMIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/1990,FEATURED,546-88-3,No CAS info,COMPOUND,YES,YES,YES,,
33,ACETONE,ACETONE,https://pubchem.ncbi.nlm.nih.gov/compound/180,FEATURED,67-64-1,No CAS info,COMPOUND,YES,YES,YES,,
34,ACETONE_(KETONE)_TESTS,ACETONE (KETONE) TESTS,https://pubmed.ncbi.nlm.nih.gov/33027776,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO,,
35,ACETYL-L-CARNITINE,ACETYL-L-CARNITINE,https://pubchem.ncbi.nlm.nih.gov/compound/7045767,FEATURED,3040-38-8,"3624-25-7, 461-77-8, 541-68-4, 74832-89-6",COMPOUND,YES,YES,YES,,
