,Original Molecule,Parsed Molecule,Link,Result Type,CAS,Deprecated CAS,Compound/Substance,Depositor Synonym List,Regular Synonym List,Synonym?
0,GEMIFLOXACIN,GEMIFLOXACIN,https://pubchem.ncbi.nlm.nih.gov/compound/9571107,FEATURED,"175463-14-6, 210353-54-1","204519-64-2, 210353-52-9, 214346-11-9",COMPOUND,YES,YES,YES
1,VILAZODONE,VILAZODONE,https://pubchem.ncbi.nlm.nih.gov/compound/6918314,FEATURED,163521-12-8,,COMPOUND,YES,YES,YES
2,DIPIVEFRINE,DIPIVEFRINE,https://pubchem.ncbi.nlm.nih.gov/compound/3105,FEATURED,52365-63-6,,COMPOUND,YES,YES,YES
3,TESTOSTERONE,TESTOSTERONE,https://pubchem.ncbi.nlm.nih.gov/compound/6013,FEATURED,58-22-0,1050678-68-6,COMPOUND,MISSING,MISSING,NO
4,EDARAVONE,EDARAVONE,https://pubchem.ncbi.nlm.nih.gov/compound/4021,FEATURED,"89-25-8
19735-89-8, 89-25-8","115566-83-1, 12235-58-4, 206195-95-1, 52224-17-6, 62495-97-0, 72134-66-8, 12235-58-4, 206195-95-1, 52224-17-6, 62495-97-0, 72134-66-8, 942-32-5; 19735-89-8",COMPOUND,YES,YES,YES
5,DONEPEZIL,DONEPEZIL,https://pubchem.ncbi.nlm.nih.gov/compound/3152,FEATURED,120014-06-4,,COMPOUND,NO,MISSING,NO
6,ETHANOL,ETHANOL,https://pubchem.ncbi.nlm.nih.gov/compound/702,FEATURED,"64-17-5, 68476-78-8, 1702-17-6, 68475-56-9, 2154-50-9, 2348-46-1, 16489-90-0, 163515-14-8","121182-78-3, 8000-16-6, 8024-45-1, 8000-16-6, 8024-45-1",COMPOUND,YES,YES,YES
7,BEPOTASTINE,BEPOTASTINE,https://pubchem.ncbi.nlm.nih.gov/compound/164522,FEATURED,"125602-71-3, 1070505-53-1",,COMPOUND,YES,YES,YES
8,DOFETILIDE,DOFETILIDE,https://pubchem.ncbi.nlm.nih.gov/compound/71329,FEATURED,115256-11-6,,COMPOUND,MISSING,MISSING,NO
9,,,,,,,,YES,YES,YES
10,,,,,,,,YES,YES,YES
11,,,,,,,,YES,YES,YES
12,,,,,,,,MISSING,YES,YES
13,,,,,,,,YES,YES,YES
14,,,,,,,,MISSING,YES,YES
15,,,,,,,,MISSING,YES,YES
16,,,,,,,,YES,YES,YES
17,,,,,,,,YES,YES,YES
18,,,,,,,,NO,MISSING,NO
19,,,,,,,,MISSING,MISSING,NO
20,,,,,,,,NO,MISSING,NO
21,,,,,,,,NO,MISSING,NO
22,,,,,,,,YES,YES,YES
23,,,,,,,,YES,YES,YES
24,,,,,,,,YES,YES,YES
25,,,,,,,,YES,YES,YES
26,,,,,,,,YES,YES,YES
27,,,,,,,,YES,YES,YES
28,,,,,,,,YES,YES,YES
29,,,,,,,,YES,YES,YES
30,,,,,,,,YES,YES,YES
31,,,,,,,,YES,YES,YES
32,,,,,,,,YES,YES,YES
33,,,,,,,,YES,YES,YES
34,,,,,,,,MISSING,MISSING,NO
35,,,,,,,,YES,YES,YES
36,,,,,,,,YES,YES,YES
37,,,,,,,,YES,YES,YES
38,,,,,,,,YES,YES,YES
39,,,,,,,,YES,YES,YES
40,,,,,,,,MISSING,YES,YES
41,,,,,,,,YES,YES,YES
42,,,,,,,,YES,YES,YES
43,,,,,,,,YES,YES,YES
44,,,,,,,,MISSING,YES,YES
45,,,,,,,,YES,YES,YES
46,,,,,,,,MISSING,YES,YES
47,,,,,,,,YES,YES,YES
48,,,,,,,,YES,YES,YES
49,,,,,,,,YES,YES,YES
50,,,,,,,,YES,YES,YES
51,,,,,,,,YES,YES,YES
52,,,,,,,,YES,YES,YES
53,,,,,,,,NO,MISSING,NO
54,,,,,,,,NO,MISSING,NO
55,,,,,,,,YES,YES,YES
56,,,,,,,,MISSING,YES,YES
57,,,,,,,,MISSING,YES,YES
58,,,,,,,,NO,MISSING,NO
59,,,,,,,,YES,YES,YES
60,,,,,,,,YES,YES,YES
61,,,,,,,,YES,YES,YES
62,,,,,,,,MISSING,YES,YES
63,,,,,,,,NO,NO,NO
64,,,,,,,,MISSING,YES,YES
65,,,,,,,,YES,YES,YES
66,,,,,,,,YES,YES,YES
67,,,,,,,,MISSING,YES,YES
68,,,,,,,,NO,YES,YES
69,,,,,,,,YES,YES,YES
70,,,,,,,,MISSING,YES,YES
71,,,,,,,,MISSING,YES,YES
72,,,,,,,,YES,YES,YES
73,,,,,,,,YES,YES,YES
74,,,,,,,,YES,YES,YES
75,,,,,,,,MISSING,YES,YES
76,,,,,,,,YES,YES,YES
77,,,,,,,,MISSING,YES,YES
78,,,,,,,,MISSING,YES,YES
79,,,,,,,,YES,YES,YES
80,,,,,,,,YES,YES,YES
81,,,,,,,,NO,NO,NO
82,,,,,,,,YES,YES,YES
83,,,,,,,,NO,MISSING,NO
84,,,,,,,,YES,YES,YES
85,,,,,,,,YES,YES,YES
86,,,,,,,,YES,YES,YES
87,,,,,,,,YES,YES,YES
88,,,,,,,,MISSING,YES,YES
89,,,,,,,,NO,NO,NO
90,,,,,,,,YES,YES,YES
91,,,,,,,,YES,YES,YES
92,,,,,,,,NO,NO,NO
93,,,,,,,,NO,NO,NO
94,,,,,,,,NO,NO,NO
95,,,,,,,,MISSING,MISSING,NO
96,,,,,,,,NO,MISSING,NO
97,,,,,,,,YES,YES,YES
98,,,,,,,,YES,YES,YES
99,,,,,,,,MISSING,YES,YES
100,,,,,,,,NO,MISSING,NO
101,,,,,,,,YES,YES,YES
102,,,,,,,,YES,YES,YES
103,,,,,,,,NO,NO,NO
104,,,,,,,,YES,YES,YES
105,,,,,,,,YES,YES,YES
106,,,,,,,,YES,YES,YES
107,,,,,,,,YES,YES,YES
108,,,,,,,,NO,MISSING,NO
109,,,,,,,,MISSING,YES,YES
110,,,,,,,,YES,YES,YES
111,,,,,,,,YES,YES,YES
112,,,,,,,,YES,YES,YES
113,,,,,,,,YES,YES,YES
