Original Molecule,Parsed Molecule,Link,Result Type,CAS,Deprecated CAS,Compound/Substance,Depositor Synonym List,Regular Synonym List,Synonym?
"1,2 PROPANEDIOL DIACETATE","1,2 PROPANEDIOL DIACETATE",https://pubchem.ncbi.nlm.nih.gov/compound/12198,RELEVANT,623-84-7,"134236-23-0, 1432741-27-9",COMPOUND,YES,YES,YES
1 HEXADECANOL,1 HEXADECANOL,https://pubchem.ncbi.nlm.nih.gov/compound/2682,RELEVANT,"36653-82-4, 36311-34-9, 124-29-8","168679-13-8, 1173838-87-3, 124-29-8, 55069-45-9, 8014-51-5, 8023-37-8, 8032-16-4, 8032-17-5, 8032-89-1, 1173838-87-3, 55069-45-9, 8014-51-5, 8023-37-8, 8032-16-4, 8032-17-5, 8032-89-1, 124-29-8",COMPOUND,YES,YES,YES
1 OCTADECANOL,1 OCTADECANOL,https://pubchem.ncbi.nlm.nih.gov/compound/8221,RELEVANT,"112-92-5, 26762-44-7","193766-48-2, 8014-37-7, 8032-19-7, 8032-21-1, 8034-90-0, 193766-48-2, 8014-37-7, 8032-21-1, 8034-90-0",COMPOUND,YES,YES,YES
"2,3-(2 IODOPROPYLIDENEDIOXY)PROPANOL","2,3-(2 IODOPROPYLIDENEDIOXY)PROPANOL",No Link,Not Found,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO
2 OXOGLUTARIC ACID,2 OXOGLUTARIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/51,FEATURED,"328-50-7, 34410-46-3, 17091-15-5",27175-99-1,COMPOUND,YES,YES,YES
2 PHENOXYETHANOL,2 PHENOXYETHANOL,https://pubchem.ncbi.nlm.nih.gov/compound/17972278,FEATURED,No CAS info,No CAS info,COMPOUND,NO,MISSING,NO
2 PROPANOL,2 PROPANOL,https://pubchem.ncbi.nlm.nih.gov/compound/3776,FEATURED,"67-63-0, 3958-66-5",8013-70-5,COMPOUND,YES,YES,YES
4 AMINOBUTYRIC ACID,4 AMINOBUTYRIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/119,FEATURED,56-12-2,3131-86-0,COMPOUND,YES,YES,YES
7 KETO DEHYDRANDROSTERONE,7 KETO DEHYDRANDROSTERONE,No Link,Not Found,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO
7 OXO-DEHYDROEPIANDROSTERONE,7 OXO-DEHYDROEPIANDROSTERONE,https://pubchem.ncbi.nlm.nih.gov/compound/193313,RELEVANT,566-19-8,No CAS info,COMPOUND,YES,YES,YES
8 QUINOLINOL,8 QUINOLINOL,https://pubchem.ncbi.nlm.nih.gov/compound/1923,FEATURED,148-24-3,"123574-67-4, 24804-14-6, 123574-67-4",COMPOUND,YES,YES,YES
ABACAVIR,ABACAVIR,https://pubchem.ncbi.nlm.nih.gov/compound/441300,FEATURED,136470-78-5,No CAS info,COMPOUND,YES,YES,YES
ABALOPARATIDE,ABALOPARATIDE,https://pubchem.ncbi.nlm.nih.gov/compound/Abaloparatide,FEATURED,247062-33-5,506422-98-6,COMPOUND,MISSING,YES,YES
ABARELIX,ABARELIX,https://pubchem.ncbi.nlm.nih.gov/compound/16131215,FEATURED,183552-38-7,No CAS info,COMPOUND,YES,YES,YES
ABATACEPT,ABATACEPT,https://pubchem.ncbi.nlm.nih.gov/compound/Abatacept,FEATURED,332348-12-6,213252-14-3,COMPOUND,MISSING,YES,YES
ABCIXIMAB,ABCIXIMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Abciximab,FEATURED,143653-53-6,No CAS info,COMPOUND,MISSING,YES,YES
ABEMACICLIB,ABEMACICLIB,https://pubchem.ncbi.nlm.nih.gov/compound/46220502,FEATURED,1231929-97-7,No CAS info,COMPOUND,YES,YES,YES
