Original Molecule,Parsed Molecule,Link,Result Type,CAS,Deprecated CAS,Compound/Substance,Depositor Synonym List,Regular Synonym List,Synonym?
ABALOPARATIDE,ABALOPARATIDE,https://pubchem.ncbi.nlm.nih.gov/compound/Abaloparatide,FEATURED,247062-33-5,506422-98-6,COMPOUND,MISSING,YES,YES
ABATACEPT,ABATACEPT,https://pubchem.ncbi.nlm.nih.gov/compound/Abatacept,FEATURED,332348-12-6,213252-14-3,COMPOUND,MISSING,YES,YES
ACEBUTOLOL,ACEBUTOLOL,https://pubchem.ncbi.nlm.nih.gov/compound/1978,FEATURED,37517-30-9,28197-63-9,COMPOUND,YES,YES,YES
ACEMANNAN,ACEMANNAN,https://pubchem.ncbi.nlm.nih.gov/compound/72041,FEATURED,110042-95-0,110865-83-3,COMPOUND,YES,YES,YES
ACETAZOLAMIDE,ACETAZOLAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/1986,FEATURED,59-66-5,"5661-25-6, 8017-69-4, 909032-78-6, 8017-69-4",COMPOUND,YES,YES,YES
AFLIBERCEPT,AFLIBERCEPT,https://pubchem.ncbi.nlm.nih.gov/compound/Aflibercept,FEATURED,862111-32-8,924289-53-2,COMPOUND,MISSING,YES,YES
ALATROFLOXACIN,ALATROFLOXACIN,https://pubchem.ncbi.nlm.nih.gov/compound/3086677,FEATURED,146961-76-4,157182-32-6,COMPOUND,YES,YES,YES
ALDESLEUKIN,ALDESLEUKIN,https://pubchem.ncbi.nlm.nih.gov/compound/Aldesleukin,FEATURED,110942-02-4,119913-24-5,COMPOUND,MISSING,YES,YES
ALECTINIB,ALECTINIB,https://pubchem.ncbi.nlm.nih.gov/compound/49806720,FEATURED,1256580-46-7,1416163-60-4,COMPOUND,YES,YES,YES
ALEMTUZUMAB,ALEMTUZUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Alemtuzumab,FEATURED,216503-57-0,"126775-97-1, 478159-77-2, 727728-72-5",COMPOUND,MISSING,YES,YES
ALFUZOSIN,ALFUZOSIN,https://pubchem.ncbi.nlm.nih.gov/compound/2092,FEATURED,81403-80-7,"128707-53-9, 86163-78-2",COMPOUND,YES,YES,YES
ALISKIREN,ALISKIREN,https://pubchem.ncbi.nlm.nih.gov/compound/5493444,FEATURED,173334-57-1,"401809-63-0, 957114-21-5",COMPOUND,YES,YES,YES
AMANTADINE,AMANTADINE,https://pubchem.ncbi.nlm.nih.gov/compound/2130,FEATURED,768-94-5,744952-70-3,COMPOUND,YES,YES,YES
AMIFOSTINE,AMIFOSTINE,https://pubchem.ncbi.nlm.nih.gov/compound/2141,FEATURED,20537-88-6,53028-04-9,COMPOUND,YES,YES,YES
AMINOACRIDINE,AMINOACRIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/7019,FEATURED,90-45-9,148651-03-0,COMPOUND,YES,YES,YES
APALUTAMIDE,APALUTAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/24872560,FEATURED,956104-40-8,1361232-32-7,COMPOUND,YES,YES,YES
APREMILAST,APREMILAST,https://pubchem.ncbi.nlm.nih.gov/compound/11561674,FEATURED,608141-41-9,666854-78-0,COMPOUND,YES,YES,YES
APREPITANT,APREPITANT,https://pubchem.ncbi.nlm.nih.gov/compound/135413536,FEATURED,170729-80-3,221350-96-5,COMPOUND,YES,YES,YES
ARABINOGALACTAN,ARABINOGALACTAN,https://pubchem.ncbi.nlm.nih.gov/compound/24847856,FEATURED,9036-66-2,"113956-37-9, 37280-16-3, 98530-09-7",COMPOUND,YES,YES,YES
ARTEMETHER,ARTEMETHER,https://pubchem.ncbi.nlm.nih.gov/compound/68911,FEATURED,71963-77-4,159573-83-8,COMPOUND,YES,YES,YES
ATEZOLIZUMAB,ATEZOLIZUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Atezolizumab,FEATURED,1380723-44-3,1422185-06-5,COMPOUND,MISSING,YES,YES
AVANAFIL,AVANAFIL,https://pubchem.ncbi.nlm.nih.gov/compound/9869929,FEATURED,330784-47-9,"330785-17-6, 647841-09-6",COMPOUND,YES,YES,YES
AVIBACTAM,AVIBACTAM,https://pubchem.ncbi.nlm.nih.gov/compound/9835049,FEATURED,"1192500-31-4, 396731-14-9",794508-22-8,COMPOUND,YES,YES,YES
AZELASTINE,AZELASTINE,https://pubchem.ncbi.nlm.nih.gov/compound/2267,FEATURED,58581-89-8,153483-42-2,COMPOUND,YES,YES,YES
AZITHROMYCIN,AZITHROMYCIN,https://pubchem.ncbi.nlm.nih.gov/compound/447043,FEATURED,83905-01-5,"104491-80-7, 142556-82-9, 142556-82-9",COMPOUND,YES,YES,YES
BARBITAL,BARBITAL,https://pubchem.ncbi.nlm.nih.gov/compound/2294,FEATURED,57-44-3,"145630-92-8, 53527-29-0, 6599-82-2",COMPOUND,YES,YES,YES
BARICITINIB,BARICITINIB,https://pubchem.ncbi.nlm.nih.gov/compound/44205240,FEATURED,1187594-09-7,"1231199-29-3, 1374987-77-5",COMPOUND,YES,YES,YES
BARIUM,BARIUM,https://pubchem.ncbi.nlm.nih.gov/compound/5355457,FEATURED,7440-39-3,13981-97-0,COMPOUND,YES,YES,YES
BENDROFLUMETHIAZIDE,BENDROFLUMETHIAZIDE,https://pubchem.ncbi.nlm.nih.gov/compound/2315,FEATURED,73-48-3,96782-79-5,COMPOUND,YES,YES,YES
